title,url,location,price,property_type,posted_by,description,Extracted_Locality,Exact_Price,BHK_List,Cleaned_Area,Price_Per_Sqft,Zone,Score_Area,Score_Price,Score_BHK_Liv,Score_BHK_Inv,Score_Zone_Liv,Score_Zone_Inv,Score_Keywords,Locality_Freq,Score_Locality,Livability_Score,Investment_Score,Recommendation_Score
3 BHK Builder Floor for Sale in Yelahanka New Town Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1490-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Yelahanka-New-Town-in-Bangalore&id=4d423831333238393231,"Yelahanka New Town, Bangalore - North, Karnataka",₹1.41 Cr,"2, 3 BHK Builder Floors",Aryan 1 Celeste,Aryan 1 Celeste has been built by reputed real estate developer Aryan Landmark Developers LLP. The required pincode of the project is 560064. Aryan 1 Celeste offers a contemporary ...,Yelahanka,14100000,"[2, 3]",1490,9463.09,North,2.03902732864118,6.71850545333478,9,9,8,9.3,0,71,2.5830258302583,52.4,66.7,59.6
2 BHK Apartment for Sale in Varthur Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1265-Sq-ft-Multistorey-Apartment-FOR-Sale-Varthur-in-Bangalore&id=4d423832333331363231,"Varthur, Bangalore - East, Karnataka",₹1.13 Cr,"2, 3 BHK Flats",RRL PALM ALTEZZE,"Introducing ""RRL PALM ALTEZZE"" by RRL BUILDERS AND DEVELOPERS PRIVTAE LIMITED, a Premium residential gated community nestled near Janthagondanahali,",Varthur,11300000,"[2, 3]",1265,8932.81,East,1.32569272715744,7.05698037830962,9,9,7.5,9.5,3,84,3.06273062730627,52.2,72,62.1
2 BHK Apartment for Sale in Carmelaram Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1222-Sq-ft-Multistorey-Apartment-FOR-Sale-Carmelaram-in-Bangalore&id=4d423832313037323839,"Marathahalli - Sarjapur Rd, Carmelaram, Ambedkar Nagar, Chikkabellandur, Bangalore, Karnataka, Carmelaram, Bangalore - East, Karnataka",₹1.40 Cr,"2, 3 BHK Flat",,"2bhk species flat available for Sale in Suncity Gloria, 1250 sq feet,,with all modern amenities like swimming pool, Garden, gymnasium, indoor games, play area, club house, gym, c...",Marathahalli,14000000,"[2, 3]",1222,11456.63,East,1.18936655887388,5.44603939401831,9,9,7.5,9.5,2,51,1.8450184501845,49.1,65.1,57.1
3 BHK Apartment for Sale in Yelahanka Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-2145-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-in-Bangalore&id=4d423830313039363837,"No.48, Old Town, Adityanagar, Yelahanka Area, Bengaluru, Karnataka 560063, India, Yelahanka, Bangalore - North, Karnataka",₹1.60 Cr,3 BHK,,"Heres an enhanced overview of Casagrand Promenade, a lowrise luxury apartment community in Yelahanka",Yelahanka,16000000,[3],2145,7459.21,North,4.1156236129605,7.99757148007269,9,9,8,9.3,3,71,2.5830258302583,63.9,72.9,68.4
2 BHK Apartment for Sale in Kanakapura Road Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1218-Sq-ft-Multistorey-Apartment-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423832323636373533,"kanakapura road Konanakunte cross Bangalore, Kanakapura Road, Bangalore - South, Karnataka",₹2.35 Cr,"2, 3, 4 BHK Flats",,2bhk 2bath room 1218sqft semi furnished East facing semi furnished mall facing balcony price 2.35cr,Konanakunte,23500000,"[2, 3, 4]",1218,19293.92,South,1.17668505484751,0.443538555299046,10,9,9.2,8.2,0.5,7,0.22140221402214,48.5,44.1,46.3
3 BHK Villa for Sale in Sarjapura Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1620-Sq-ft-Villa-FOR-Sale-Sarjapur-in-Bangalore&id=4d423738313633373433,"Marathahalli - Sarjapur Rd, Ittangur, Bengaluru, Karnataka, India, Sarjapur, Bangalore - South, Karnataka",₹2 Cr,"3, 4 BHK Flats",,The project is spread over an area of 6.8 acres. There are around 950 units on offer. Prestige City Avalon Park Sarjapur housing society has 7 towers with 29floors,Marathahalli,20000000,"[3, 4]",1620,12345.68,East,2.45117620949845,4.8785634717718,10,9,7.5,9.5,1.5,51,1.8450184501845,55,63.2,59.1
2 BHK Apartment for Sale in Uttarahalli Hobli Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1137-Sq-ft-Multistorey-Apartment-FOR-Sale-Uttarahalli-in-Bangalore&id=4d423832323539373831,"Uttarahalli Hobli, Bangalore, Uttarahalli, Bangalore - South, Karnataka",₹1.55 Cr,3 BHK Flats,,"Prestige Lake Ridge houses 1,119 intelligently planned and luxuriously laid out highrise homes set in 12 towers of 17 18 floors, with a spectrum of sizes and configurations, so yo...",Uttarahalli,15500000,[3],1137,13632.37,South,0.91988459831336,4.05727603642467,9,9,9.2,8.2,2,24,0.848708487084871,50.2,55.6,52.9
2 BHK Apartment for Sale in Whitefield Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1471-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423832303939353731,"Whitefield, Bangalore - East, Karnataka",₹1.98 Cr,"2, 3 BHK Flat",,2 BHK Apartment for Sale in Whitefield Bangalore,Whitefield,19800000,"[2, 3]",1471,13460.23,East,1.97879018451588,4.16715208980245,9,9,7.5,9.5,0,179,6.56826568265683,48.6,67,57.8
3 BHK Apartment for Sale in Channasandra Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-2002-Sq-ft-Multistorey-Apartment-FOR-Sale-Channasandra-in-Bangalore&id=4d423635343237303035,"whitefield, Channasandra, Bangalore - East, Karnataka",₹1.90 Cr,"3, 4 BHK Flats",,"Prestige Elm Park is a brand new luxury residential apartment project launched at the heart of Whitefield, East Bangalore.The residential enclave Elm Park by Prestige features luxu...",Channasandra,19000000,"[3, 4]",2002,9490.51,East,3.6622598440175,6.70100341206826,10,9,7.5,9.5,3.5,8,0.25830258302583,63,67.4,65.2
3 BHK Apartment for Sale in Bannerghatta Main Road Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Bannerghatta-Main-Road-in-Bangalore&id=4d423831383338353933,"Bannerghatta Main Road, Bangalore, Bannerghatta Road, Bangalore - South, Karnataka",₹2.10 Cr,"2, 3 BHK Flat",,Sjr luxuria sale 2095sqft 6floor 2.15cr good society well maintained luxury apartment,Bannerghatta,21000000,"[2, 3]",1675,12537.31,South,2.62554688986114,4.75624705426986,9,9,9.2,8.2,2,63,2.28782287822878,56.8,59.5,58.2
3 BHK Apartment for Sale in Whitefield Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-899-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423831313639383839,"Whitefield, Bangalore, Whitefield, Bangalore - East, Karnataka",₹79.8 Lac,"1, 2, 3 BHK Flat | Studio Apartment",,"Sowparnika Ashiyana in Whitefield, Bangalore is a readytomove housing society. It offers apartments and studio apartments in varied budget range. These units are a perfect combinat...",Whitefield,7980000,"[1, 2, 3]",899,8876.53,East,0.165335108743897,7.09290360524178,9,9,7.5,9.5,0,179,6.56826568265683,45.2,74.3,59.8
3 BHK Apartment for Sale in Varthur Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1205-Sq-ft-Multistorey-Apartment-FOR-Sale-Varthur-in-Bangalore&id=4d423637353430343139,"Varthur, Bangalore, Varthur, Bangalore - East, Karnataka",₹85.5 Lac,2 BHK Flats,,Neeladri Sarovaram Floor Plans and Price List This housing society has the following property options available in different configurations. Take a look at Neeladri Sarovaram Floor...,Varthur,8550000,[2],1205,7095.44,East,1.13547016676178,8.22976395095241,7,8,7.5,9.5,0,84,3.06273062730627,44.7,70.4,57.6
2 BHK Apartment for Sale in Sarjapur Road Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1275-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423832323235383333,"Sompura gate off sarjapura main road Bangalore-102, Sarjapur Road, Bangalore - South, Karnataka",₹80 Lac,"2, 3 BHK Flat",,"Type 2BHK Size 1310sqfeet Facing East Floor 1st Floor Price 80lak Negotiable Location Sands Gateway ,Sompura Gate ,OFf Sarjapuraroad",Sarjapur,8000000,"[2, 3]",1275,6274.51,East,1.35739648722338,8.75375923676292,9,9,7.5,9.5,0,272,10,51,83.6,67.3
3 BHK Villa for Sale in Challegatta Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-2200-Sq-ft-Villa-FOR-Sale-Challegatta-in-Bangalore&id=4d423831383332373635,"RR Nagar Dental College, Challegatta, Bangalore - West, Karnataka",₹1.78 Cr,"2, 3 BHK Flat, Villa, Penthouses",,"BR Queens Villa, also known as SBR Global Queens Ville, is a residential project located in Mysore Road in Bangalore. Heres a detailed description based on available informationPro...",Mysore Road,17800000,"[2, 3]",2200,8090.91,West,4.28999429332319,7.59436070443227,9,9,6.8,7.4,0,46,1.66051660516605,58.7,60.9,59.8
3 BHK Apartment for Sale in Bannerughatta Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1950-Sq-ft-Multistorey-Apartment-FOR-Sale-Bannerghatta-in-Bangalore&id=4d423733363730383137,"Bannerghatta Main Road, Bangalore, Bannerghatta, Bangalore - South, Karnataka",₹2.60 Cr,"2, 3, 4, 5, 6 BHK Flats",,"Lodha Azur is strategically crafted by the renowned builder LODHA Group. It is a superb Residential development in Bannerghatta Road, a highclass locality in Bangalore having all t...",Bannerghatta,26000000,"[2, 3, 4, 5, 6]",1950,13333.33,South,3.49740029167459,4.24815168997464,10,9,9.2,8.2,0,63,2.28782287822878,59.9,56.3,58.1
3 BHK Apartment for Sale in Kadugodi Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1784-Sq-ft-Multistorey-Apartment-FOR-Sale-Kadugodi-in-Bangalore&id=4d423832303238303437,"Chikka Banahalli Road, Whitefield, Sai Gardens, Kadugodi, Bengaluru, Karnataka, Kadugodi, Bangalore - East, Karnataka",₹2.31 Cr,"3, 4 BHK Flat, Villas",,"Prestige Park Grove is a large residential project in Whitefield, Bangalore, featuring apartments and villas on a 72acre site. The project includes 3,627 apartments in 19 towers 24...",Whitefield,23100000,"[3, 4]",1784,12948.43,East,2.97111787457993,4.49383132832195,10,9,7.5,9.5,1.5,179,6.56826568265683,56.4,69.3,62.8
1 BHK Apartment for Sale in Whitefield Bangalore,https://www.magicbricks.com/propertyDetails/1-BHK-605-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423832313731383937,"Whitefield, Bangalore - East, Karnataka",₹96.8 Lac,3 BHK Flats,,Godrej Splendour 1 BHK on Sale,Whitefield,9680000,[3],605,16000,East,0,2.54603030470147,9,9,7.5,9.5,0,179,6.56826568265683,40,63,51.5
3 BHK Apartment for Sale in Whitefield Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1865-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423830383632353237,"Whitefield, Bangalore - East, Karnataka",₹1.41 Cr,2 BHK Flats,,3 BHK Apartment for Sale in Whitefield Bangalore,Whitefield,14100000,[2],1865,7560.32,East,3.22791833111407,7.9330335007708,7,8,7.5,9.5,0,179,6.56826568265683,51.7,74.9,63.3
2 BHK Apartment for Sale in Thanisandra Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1052-Sq-ft-Multistorey-Apartment-FOR-Sale-Thanisandra-in-Bangalore&id=4d423830323030323233,"Thanisandra, Bangalore, Thanisandra, Bangalore - North, Karnataka",₹1.25 Cr,"1, 2 BHK Flat",,This is a premium 2 BHK Spacious flat available for resale in Sobha dream gardens. Contact for more details.,Thanisandra,12500000,"[1, 2]",1052,11882.13,North,0.650402637752837,5.17444498997367,7,8,8,9.3,0,51,1.8450184501845,41,60.3,50.6
2 BHK Apartment for Sale in BHEL Layout Adityanagar Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1242-Sq-ft-Multistorey-Apartment-FOR-Sale-BHEL-Layout-Adityanagar-in-Bangalore&id=4d423831343138333337,"Vidyaranyapura, Yelahanka New Toan, Bangalore, BHEL Layout Adityanagar, Bangalore - North, Karnataka",₹91.3 Lac,"1, 2, 3 BHK Flat",,"Kanisha White Palace is a Under Construction project by Kanisha Builders in Vidyaranyapura Bangalore, offering 1, 2, 3 BHK Flats configuration. Below are the key details of Kanisha...",Vidyaranyapura,9130000,"[1, 2, 3]",1242,7351.05,North,1.25277407900577,8.06660943716193,9,9,8,9.3,-0.5,6,0.18450184501845,50.5,66,58.2
"2 BHK Apartment for Sale in Bellandur, Outer Ring Road Bangalore",https://www.magicbricks.com/propertyDetails/2-BHK-1418-Sq-ft-Multistorey-Apartment-FOR-Sale-Bellandur-in-Bangalore&id=4d423832333633333733,"Bellandur, Bangalore, Bellandur, Bangalore - Central, Karnataka",₹2.10 Cr,"1, 2, 3 BHK Flat",,"Welcome to your ideal lifestyle This property offers an feature like clubhouse, swimming pool, and gymnasium, or landscaped park a visitor parking, a maintained service lift, and m...",Bellandur,21000000,"[1, 2, 3]",1418,14809.59,East,1.81076025616638,3.30586272425208,9,9,7.5,9.5,3.5,53,1.91881918819188,50.6,61.4,56
1 BHK Apartment for Sale in Haralur Bangalore,https://www.magicbricks.com/propertyDetails/1-BHK-655-Sq-ft-Multistorey-Apartment-FOR-Sale-Haralur-in-Bangalore&id=4d423832323633313731,"Sy.No.149, Kudlu village, Anekal Taluk, Sy.No.78, Parappana agrahara village, Begur Hobli, Haralur, Bangalore - South, Karnataka",₹72 Lac,"1, 2, 3 BHK Flats",,"SJR Blue Waters in Parappana Agrahara, Hosa Road is a readytomove housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and...",Hosa Road,7200000,"[1, 2, 3]",655,10992.37,South,0,5.74237410147252,9,9,9.2,8.2,0,24,0.848708487084871,46.6,57.8,52.2
3 BHK Apartment for Sale in Bidarahalli Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1290-Sq-ft-Multistorey-Apartment-FOR-Sale-Bidarahalli-in-Bangalore&id=4d423830353933373639,"Survey Numbers 1212, Seegehalli, Bidrahalli, Bangalore, Karnataka, Bidarahalli, Bangalore - East, Karnataka",₹1.60 Cr,"2, 3, 4 BHK Flats",,"3 BHK unfurnished flat is ready to move in SBR MINARA which is located in Kr puram, Bangalore",Bidarahalli,16000000,"[2, 3, 4]",1290,12403.1,East,1.4049521273223,4.84191258885701,10,9,7.5,9.5,2,13,0.44280442804428,51.8,61.5,56.6
3 BHK Apartment for Sale in Gunjur Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1563-Sq-ft-Multistorey-Apartment-FOR-Sale-Gunjur-in-Bangalore&id=4d423831393131323237,"Gunjur, Bangalore - East, Karnataka",₹1.90 Cr,"2, 3 BHK Flats",,3 BHK Apartment for Sale in Gunjur Bangalore,Gunjur,19000000,"[2, 3]",1563,12156.11,East,2.27046477712257,4.99956500214722,9,9,7.5,9.5,0,21,0.738007380073801,50.4,60.4,55.4
3 BHK Apartment for Sale in Hulimangala Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1665-Sq-ft-Multistorey-Apartment-FOR-Sale-Hulimangala-in-Bangalore&id=4d423831383138353333,"Hulimangala, Bangalore, Hulimangala, Bangalore - South, Karnataka",₹1.77 Cr,"1, 3 BHK Flat",,"Bren Park City is an upcoming residential project by Bren Corporation, located near Electronic City, Hulimangala Road, Bengaluru. Spread across approximately 1013 acres, the projec...",Electronic City,17700000,"[1, 3]",1665,10630.63,South,2.59384312979519,5.97327083406737,9,9,9.2,8.2,1.5,50,1.80811808118081,57.5,61.3,59.4
3 BHK Apartment for Sale in Hebbal Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1650-Sq-ft-Multistorey-Apartment-FOR-Sale-Hebbal-in-Bangalore&id=4d423831383133383733,"Hiranandani Glen Classic, Devinagar, Bengaluru, Karnataka 560092, Hebbal, Bangalore - North, Karnataka",₹2.50 Cr,"2, 3 BHK Flat",,"This lovely 3BHK bedroom with fully furnished flat available for sale just 2.5 cr near hebbal ,east facing",Devinagar,25000000,"[2, 3]",1650,15151.52,North,2.54628748969628,3.08761061009231,9,9,8,9.3,0,2,0.03690036900369,50.5,53.8,52.2
3 BHK Apartment for Sale in Thanisandra Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1742-Sq-ft-Multistorey-Apartment-FOR-Sale-Thanisandra-in-Bangalore&id=4d423831313130393835,"Thanisandra Main Rd, Thanisandra, Bengaluru, Karnataka, Thanisandra, Bangalore - North, Karnataka",₹2.10 Cr,"3, 4 BHK Flats",,Its a 3BHK Semi furnished flat available in gated community with all society amenities. Its a east facing unit with 1 car parking and has 3 toilets and 1 balconies. The flat is ava...,Thanisandra,21000000,"[3, 4]",1742,12055.11,North,2.83796208230296,5.06403276902974,10,9,8,9.3,4.5,51,1.8450184501845,60.5,66,63.2
2 BHK Apartment for Sale in Bangalore City Municipal Corporation Layout Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1415-Sq-ft-Multistorey-Apartment-FOR-Sale-Bangalore-City-Municipal-Corporation-Layout-in-Bangalore&id=4d423831333439323635,"Kanakapura Road, Bangalore, Bangalore City Municipal Corporation Layout, Bangalore - South, Karnataka",₹1.85 Cr,2 BHK Flats,,"Enessen Estates and Prime One Corp Centreo is the new residential apartment project by Enessen Estates Prime One Corp in the neighbourhood of Kanakapura Road, Bangalore.The reside...",Kanakapura,18500000,[2],1415,13074.2,South,1.8012491281466,4.41355300118518,7,8,9.2,8.2,0,45,1.62361623616236,46.6,54.2,50.4
3 BHK Apartment for Sale in Hennur Main Road Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1630-Sq-ft-Multistorey-Apartment-FOR-Sale-Hennur-Main-Road-in-Bangalore&id=4d423830393333383139,"Off Hennur Road, Purva Palm Beach road, Elus Rd, Hanumanthappa Layout, Kyalasanahalli, Bengaluru, Karnataka, Hennur Main Road, Bangalore - North, Karnataka",₹2.15 Cr,"2, 3 BHK Flats",,"Step into a home that blends space, comfort, and natural beauty Designed to keep the air flowing freely, the apartment offers refreshing breezes that reduce the need for artificial...",Hennur,21500000,"[2, 3]",1630,13190.18,North,2.48287996956439,4.33952357937297,9,9,8,9.3,0,35,1.25461254612546,51.5,58.8,55.2
3 BHK Apartment for Sale in Sarjapur Road Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1830-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423831383134323133,"sarjapur, Sarjapur Road, Bangalore - South, Karnataka",₹2.60 Cr,"3, 4 BHK Flat, Penthouses",,amazing view from the society environmental friendly,Sarjapur,26000000,"[3, 4]",1830,14207.65,East,3.11695517088327,3.69007784897743,10,9,7.5,9.5,0,272,10,54.6,71,62.8
3 BHK Apartment for Sale in Banashankari Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1890-Sq-ft-Multistorey-Apartment-FOR-Sale-Banashankari-in-Bangalore&id=4d423734353735363831,"Near Sevakshethra Hospital Adithya layout Banashankari, Banashankari, Bangalore - South, Karnataka",₹2.50 Cr,3 BHK Flats,,Premium flat with about 90 sq ft of private terrace,Banashankari,25000000,[3],1890,13227.51,South,3.30717773127893,4.3156960374153,9,9,9.2,8.2,0,46,1.66051660516605,56.8,55.5,56.2
2 BHK Apartment for Sale in Devanahalli Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1390-Sq-ft-Multistorey-Apartment-FOR-Sale-Devanahalli-in-Bangalore&id=4d423830313836323831,"5MV5MXF, Yerthiganahalli, Bengaluru, Karnataka, Devanahalli, Bangalore - Bangalore Rural, Karnataka",₹1.35 Cr,"2, 3 BHK Flats",,"Situated in Devanahalli, the Barca At Godrej MSR City is planned to offer a modern lifestyle to all the residents. The property is a part of an integrated township which spreads ov...",Devanahalli,13500000,"[2, 3]",1390,9712.23,North,1.72198972798174,6.55948070639311,9,9,8,9.3,0,74,2.69372693726937,51.1,66.5,58.8
2 BHK Apartment for Sale in Kasavanahalli Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1098-Sq-ft-Multistorey-Apartment-FOR-Sale-Kasavanahalli-in-Bangalore&id=4d423739393238373031,"Kasavanahalli, Bangalore - South, Karnataka",₹73.6 Lac,"2, 3 BHK Flats",,"The building has G + 4 floors 35 units, and this spacious 2BHK and 3BHK flats includes parking for both car and bike, along with security, lift access, and amenities like power bac...",Bangalore South (Generic),7360000,"[2, 3]",1098,6703.1,South,0.796239934056179,8.4801925020285,9,9,9.2,8.2,1.5,5,0.14760147601476,53.7,65.1,59.4
3 BHK Apartment for Sale in Kallahally Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1387-Sq-ft-Multistorey-Apartment-FOR-Sale-Kallahally-in-Bangalore&id=4d423831373232343635,"Sarjapur Road, Bangalore, Kallahally, Bangalore - Bangalore Rural, Karnataka",₹1.85 Cr,3 BHK Flats,,Some of the prominent amenities and features includeGrand clubhouse prestigengroup.com2prestigesoakville.info2Swimming pool adult kids prestigesoakville.info1Gym Fitness centre p...,Kallahally,18500000,[3],1387,13338.14,East,1.71247859996196,4.2450814923637,9,9,7.5,9.5,2,1,0,49.7,59.4,54.6
2 BHK Apartment for Sale in Sarjapur Road Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1102-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423730343032323535,"Sarjapur Road, Bangalore - South, Karnataka",₹87.1 Lac,"2, 3 BHK Flats",,"At Bhavya Dazzle, all residents have easy access to some of the truly desired facilities such as Power Backup. There is 24x7 Security. It is a Gated Community. Some other provision...",Sarjapur,8710000,"[2, 3]",1102,7903.81,East,0.808921438082557,7.71378564684532,9,9,7.5,9.5,3,272,10,51,84,67.5
2 BHK Apartment for Sale in Whitefield Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1230-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423832333338323133,"Whitefield, Bangalore - East, Karnataka",₹1.31 Cr,"2, 3, 4 BHK Flats",,2bhk flat for sale in Whitefield seegehalli ready to move in flat with affordable amenities like carparking Powerbackup generator intercom lift security gym children play area swim...,Whitefield,13100000,"[2, 3, 4]",1230,10650.41,East,1.21472956692664,5.96064536447395,10,9,7.5,9.5,4.5,179,6.56826568265683,54.7,76,65.4
3 BHK Apartment for Sale in Kaikondrahalli Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1067-Sq-ft-Multistorey-Apartment-FOR-Sale-Kaikondrahalli-in-Bangalore&id=4d423831323830393133,"Survery No 1523, Opp Total Mall, Varthur Hobli, Kaikondarahalli, Sarjapur Main Road, Bengaluru, Karnataka, Kaikondrahalli, Bangalore - East, Karnataka",₹2.16 Cr,"2, 3, 4, 5 BHK Flat",,"2.5 BHK 24 hours water facility available 2.5 bhk FLAT for sale it is a gated community,very good society all security, lifts, gym, garden Area etc. And near by IT Companies in min...",Sarjapur,21600000,"[2, 3, 4, 5]",1067,20243.67,East,0.697958277851753,0,10,9,7.5,9.5,4,272,10,46.4,65.8,56.1
2 BHK Apartment for Sale in Kasavanahalli Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1418-Sq-ft-Multistorey-Apartment-FOR-Sale-Kasavanahalli-in-Bangalore&id=4d423737393534373639,"Sarjapur Road, Bangalore, Kasavanahalli, Bangalore - South, Karnataka",₹1.79 Cr,"2, 3 BHK Flats",,"2 BHK spacious apartment, near to major IT hubs with multiple amenities",Sarjapur,17900000,"[2, 3]",1418,12623.41,East,1.81076025616638,4.70128987873932,9,9,7.5,9.5,0,272,10,48.5,73.5,61
3 BHK Apartment for Sale in Chikkakannalli Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1739-Sq-ft-Multistorey-Apartment-FOR-Sale-Chikkakannalli-in-Bangalore&id=4d423830343530383237,"Sarjapur Road, Bangalore, Chikkakannalli, Bangalore - South, Karnataka",₹1.51 Cr,"2, 3 BHK Flats",,"excellent connectivity to major IT hubs like Whitefield, Electronic City and Outer Ring Road",Electronic City,15100000,"[2, 3]",1739,8683.15,South,2.82845095428318,7.21633703850653,9,9,9.2,8.2,0,50,1.80811808118081,58,63,60.5
2 BHK Apartment for Sale in Amrutahalli Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1187-Sq-ft-Multistorey-Apartment-FOR-Sale-Amrutahalli-in-Bangalore&id=4d423831343835313135,"Amrutahalli, Bangalore - North, Karnataka",₹98 Lac,3 BHK Flats,,2 BHK Apartment for Sale in Amrutahalli Bangalore,Bangalore North (Generic),9800000,[3],1187,8256.11,North,1.07840339864308,7.48891441642245,9,9,8,9.3,0,2,0.03690036900369,49.8,64.8,57.3
3 BHK Apartment for Sale in J P Nagar Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1616-Sq-ft-Multistorey-Apartment-FOR-Sale-JP-Nagar-in-Bangalore&id=4d423832333137323731,"4782, Anjanapura 80 Feet Rd, Royal Park residency Layout 1, JP Nagar 9th Phase, Bangalore, JP Nagar, Bangalore - South, Karnataka",₹1.64 Cr,"1, 2, 3 BHK Flats",,"Sattva Forest Ridge in JP Nagar 9th Phase is where nature and luxury blend seamlessly.Spread across 4 acres, it features 407 premium apartments in two G30 towers, offering breathta...",Anjanapura,16400000,"[1, 2, 3]",1616,10148.51,South,2.43849470547207,6.28100548524952,9,9,9.2,8.2,2,15,0.516605166051661,57.7,60.7,59.2
4 BHK Apartment for Sale in Bagaluru Bangalore,https://www.magicbricks.com/propertyDetails/4-BHK-2168-Sq-ft-Multistorey-Apartment-FOR-Sale-Bagaluru-in-Bangalore&id=4d423832323630343331,"Bagaluru, Bangalore, Bagaluru, Bangalore - East, Karnataka",₹2.50 Cr,3 BHK Flats,,"Assetz Soho Sky is a thoughtfully designed residential project located in Jakkur, North Bangalore, Spread across 4.51 acres with 75 open space, the project ensures minimal ecologi...",Bagaluru,25000000,[3],2168,11531.37,North,4.18854226111217,5.39833324652525,9,9,8,9.3,0,13,0.44280442804428,58.6,60.2,59.4
2 BHK Apartment for Sale in Borewell Road Bangalore,https://www.magicbricks.com/propertyDetails/2-BHK-1320-Sq-ft-Multistorey-Apartment-FOR-Sale-Borewell-Road-in-Bangalore&id=4d423831363430383833,"Whitefield, Bangalore, Borewell Road, Bangalore - East, Karnataka",₹1.68 Cr,2 BHK,,Large size 2 bhk with 2 balconies at heart of whitefield,Whitefield,16800000,[2],1320,12727.27,East,1.50006340752013,4.63499658895301,7,8,7.5,9.5,0,179,6.56826568265683,42.4,66.7,54.6
3 BHK Apartment for Sale in Sarjapura Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1657-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-in-Bangalore&id=4d423831313930363637,"Sarjapur, Bangalore - South, Karnataka",₹2.10 Cr,"3, 4 BHK Flats",,3 BHK Apartment for Sale in Sarjapura Bangalore,Sarjapur,21000000,"[3, 4]",1657,12673.51,East,2.56848012174244,4.66931131318671,10,9,7.5,9.5,0,272,10,53.7,73.4,63.6
3 BHK Apartment for Sale in Panathur Bangalore,https://www.magicbricks.com/propertyDetails/3-BHK-1611-Sq-ft-Multistorey-Apartment-FOR-Sale-Panathur-in-Bangalore&id=4d423830343031323637,"Bengaluru East, Bengaluru Urban, Karnataka - 560103, Panathur, Bangalore - East, Karnataka",₹2.35 Cr,"1, 3, 4 BHK Flats",,"a lovely 3 bhk under counstruction property is for sale of rs. 2.55 cr located on 9th floor, east facing sba around 1611 sq ft",Panathur,23500000,"[1, 3, 4]",1611,14587.21,East,2.4226428254391,3.4478067044435,10,9,7.5,9.5,0,36,1.29151291512915,51.9,57.3,54.6
